VXRT,Date
6.929999828338623,2017-09-06
6.820000171661377,2017-09-07
6.820000171661377,2017-09-08
6.710000038146973,2017-09-11
7.039999961853027,2017-09-12
7.039999961853027,2017-09-13
7.699999809265137,2017-09-14
8.029999732971191,2017-09-15
7.920000076293945,2017-09-18
7.480000019073486,2017-09-19
6.929999828338623,2017-09-20
6.929999828338623,2017-09-21
7.150000095367432,2017-09-22
7.039999961853027,2017-09-25
7.150000095367432,2017-09-26
7.150000095367432,2017-09-27
7.150000095367432,2017-09-28
7.590000152587891,2017-09-29
8.140000343322754,2017-10-02
7.809999942779541,2017-10-03
7.480000019073486,2017-10-04
7.699999809265137,2017-10-05
7.699999809265137,2017-10-06
7.590000152587891,2017-10-09
8.6899995803833,2017-10-10
8.029999732971191,2017-10-11
8.029999732971191,2017-10-12
8.029999732971191,2017-10-13
7.809999942779541,2017-10-16
8.140000343322754,2017-10-17
7.920000076293945,2017-10-18
7.920000076293945,2017-10-19
8.359999656677246,2017-10-20
9.130000114440918,2017-10-23
8.90999984741211,2017-10-24
8.800000190734863,2017-10-25
8.800000190734863,2017-10-26
9.130000114440918,2017-10-27
7.480000019073486,2017-10-30
6.820000171661377,2017-10-31
6.710000038146973,2017-11-01
6.599999904632568,2017-11-02
6.380000114440918,2017-11-03
6.159999847412109,2017-11-06
5.829999923706055,2017-11-07
6.050000190734863,2017-11-08
5.940000057220459,2017-11-09
5.829999923706055,2017-11-10
6.269999980926514,2017-11-13
6.159999847412109,2017-11-14
6.269999980926514,2017-11-15
6.269999980926514,2017-11-16
6.159999847412109,2017-11-17
6.269999980926514,2017-11-20
6.269999980926514,2017-11-21
6.380000114440918,2017-11-22
6.380000114440918,2017-11-24
6.710000038146973,2017-11-27
6.489999771118164,2017-11-28
7.150000095367432,2017-11-29
7.039999961853027,2017-11-30
6.820000171661377,2017-12-01
6.489999771118164,2017-12-04
6.599999904632568,2017-12-05
6.489999771118164,2017-12-06
6.489999771118164,2017-12-07
6.489999771118164,2017-12-08
6.380000114440918,2017-12-11
6.489999771118164,2017-12-12
6.599999904632568,2017-12-13
6.489999771118164,2017-12-14
6.489999771118164,2017-12-15
6.489999771118164,2017-12-18
6.489999771118164,2017-12-19
6.380000114440918,2017-12-20
6.380000114440918,2017-12-21
6.269999980926514,2017-12-22
6.269999980926514,2017-12-26
6.269999980926514,2017-12-27
6.159999847412109,2017-12-28
6.269999980926514,2017-12-29
5.940000057220459,2018-01-02
6.050000190734863,2018-01-03
6.159999847412109,2018-01-04
6.159999847412109,2018-01-05
6.269999980926514,2018-01-08
6.380000114440918,2018-01-09
6.380000114440918,2018-01-10
6.599999904632568,2018-01-11
7.480000019073486,2018-01-12
7.150000095367432,2018-01-16
7.260000228881836,2018-01-17
7.369999885559082,2018-01-18
7.369999885559082,2018-01-19
6.820000171661377,2018-01-22
6.929999828338623,2018-01-23
6.710000038146973,2018-01-24
6.489999771118164,2018-01-25
6.710000038146973,2018-01-26
6.599999904632568,2018-01-29
6.380000114440918,2018-01-30
6.380000114440918,2018-01-31
6.489999771118164,2018-02-01
6.710000038146973,2018-02-02
6.929999828338623,2018-02-05
6.820000171661377,2018-02-06
7.260000228881836,2018-02-07
8.6899995803833,2018-02-08
8.359999656677246,2018-02-09
8.800000190734863,2018-02-12
9.020000457763672,2018-02-13
8.5,2018-02-14
7.78000020980835,2018-02-15
6.559999942779541,2018-02-16
6.179999828338623,2018-02-20
6.190000057220459,2018-02-21
5.900000095367432,2018-02-22
5.690000057220459,2018-02-23
5.900000095367432,2018-02-26
5.630000114440918,2018-02-27
5.590000152587891,2018-02-28
5.300000190734863,2018-03-01
4.949999809265137,2018-03-02
5.53000020980835,2018-03-05
5.869999885559082,2018-03-06
5.75,2018-03-07
5.769999980926514,2018-03-08
5.800000190734863,2018-03-09
6.110000133514404,2018-03-12
6.940000057220459,2018-03-13
6.920000076293945,2018-03-14
6.539999961853027,2018-03-15
6.300000190734863,2018-03-16
5.909999847412109,2018-03-19
5.53000020980835,2018-03-20
5.650000095367432,2018-03-21
5.420000076293945,2018-03-22
5.460000038146973,2018-03-23
5.789999961853027,2018-03-26
5.340000152587891,2018-03-27
5.199999809265137,2018-03-28
5.309999942779541,2018-03-29
5.079999923706055,2018-04-02
6.0,2018-04-03
5.380000114440918,2018-04-04
5.139999866485596,2018-04-05
5.059999942779541,2018-04-06
5.010000228881836,2018-04-09
5.269999980926514,2018-04-10
5.150000095367432,2018-04-11
5.119999885559082,2018-04-12
5.119999885559082,2018-04-13
5.019999980926514,2018-04-16
5.25,2018-04-17
5.369999885559082,2018-04-18
5.570000171661377,2018-04-19
5.769999980926514,2018-04-20
5.590000152587891,2018-04-23
5.360000133514404,2018-04-24
5.190000057220459,2018-04-25
5.28000020980835,2018-04-26
5.260000228881836,2018-04-27
5.25,2018-04-30
5.199999809265137,2018-05-01
5.25,2018-05-02
5.130000114440918,2018-05-03
5.449999809265137,2018-05-04
5.190000057220459,2018-05-07
5.239999771118164,2018-05-08
5.159999847412109,2018-05-09
5.019999980926514,2018-05-10
5.130000114440918,2018-05-11
5.159999847412109,2018-05-14
5.130000114440918,2018-05-15
5.059999942779541,2018-05-16
5.079999923706055,2018-05-17
5.300000190734863,2018-05-18
5.199999809265137,2018-05-21
5.309999942779541,2018-05-22
5.090000152587891,2018-05-23
5.190000057220459,2018-05-24
5.170000076293945,2018-05-25
5.110000133514404,2018-05-29
5.059999942779541,2018-05-30
5.119999885559082,2018-05-31
5.239999771118164,2018-06-01
4.28000020980835,2018-06-04
3.359999895095825,2018-06-05
3.5399999618530273,2018-06-06
3.4600000381469727,2018-06-07
3.490000009536743,2018-06-08
3.450000047683716,2018-06-11
3.2300000190734863,2018-06-12
3.259999990463257,2018-06-13
3.190000057220459,2018-06-14
3.119999885559082,2018-06-15
3.240000009536743,2018-06-18
3.130000114440918,2018-06-19
3.059999942779541,2018-06-20
3.069999933242798,2018-06-21
3.0999999046325684,2018-06-22
3.0299999713897705,2018-06-25
2.9700000286102295,2018-06-26
2.880000114440918,2018-06-27
2.9700000286102295,2018-06-28
3.0299999713897705,2018-06-29
2.9800000190734863,2018-07-02
3.0199999809265137,2018-07-03
3.2899999618530273,2018-07-05
3.1500000953674316,2018-07-06
3.240000009536743,2018-07-09
3.2200000286102295,2018-07-10
3.190000057220459,2018-07-11
3.140000104904175,2018-07-12
3.1600000858306885,2018-07-13
3.119999885559082,2018-07-16
3.2300000190734863,2018-07-17
3.119999885559082,2018-07-18
3.109999895095825,2018-07-19
3.0899999141693115,2018-07-20
3.130000114440918,2018-07-23
3.0899999141693115,2018-07-24
3.0899999141693115,2018-07-25
3.130000114440918,2018-07-26
3.059999942779541,2018-07-27
3.190000057220459,2018-07-30
3.049999952316284,2018-07-31
3.0899999141693115,2018-08-01
3.0899999141693115,2018-08-02
3.119999885559082,2018-08-03
3.109999895095825,2018-08-06
3.069999933242798,2018-08-07
3.0799999237060547,2018-08-08
3.059999942779541,2018-08-09
3.0999999046325684,2018-08-10
3.0299999713897705,2018-08-13
3.049999952316284,2018-08-14
2.9100000858306885,2018-08-15
3.009999990463257,2018-08-16
3.0,2018-08-17
3.0399999618530273,2018-08-20
3.0999999046325684,2018-08-21
3.0399999618530273,2018-08-22
3.2100000381469727,2018-08-23
3.1600000858306885,2018-08-24
3.1700000762939453,2018-08-27
3.0899999141693115,2018-08-28
3.069999933242798,2018-08-29
3.059999942779541,2018-08-30
3.049999952316284,2018-08-31
3.0299999713897705,2018-09-04
3.049999952316284,2018-09-05
3.049999952316284,2018-09-06
3.0899999141693115,2018-09-07
3.0399999618530273,2018-09-10
2.950000047683716,2018-09-11
3.0799999237060547,2018-09-12
2.9000000953674316,2018-09-13
2.809999942779541,2018-09-14
2.6700000762939453,2018-09-17
2.5399999618530273,2018-09-18
2.4200000762939453,2018-09-19
2.799999952316284,2018-09-20
3.190000057220459,2018-09-21
3.0299999713897705,2018-09-24
2.9200000762939453,2018-09-25
2.8399999141693115,2018-09-26
2.740000009536743,2018-09-27
2.8499999046325684,2018-09-28
2.799999952316284,2018-10-01
2.799999952316284,2018-10-02
2.7799999713897705,2018-10-03
5.25,2018-10-04
5.079999923706055,2018-10-05
4.900000095367432,2018-10-08
4.099999904632568,2018-10-09
3.6500000953674316,2018-10-10
3.75,2018-10-11
3.880000114440918,2018-10-12
3.7200000286102295,2018-10-15
3.200000047683716,2018-10-16
3.559999942779541,2018-10-17
3.2200000286102295,2018-10-18
3.2300000190734863,2018-10-19
3.140000104904175,2018-10-22
3.0899999141693115,2018-10-23
2.8299999237060547,2018-10-24
2.859999895095825,2018-10-25
2.799999952316284,2018-10-26
2.75,2018-10-29
2.75,2018-10-30
2.930000066757202,2018-10-31
3.049999952316284,2018-11-01
2.930000066757202,2018-11-02
2.930000066757202,2018-11-05
2.880000114440918,2018-11-06
