REGN,Date
342.6700134277344,2018-02-12
324.57000732421875,2018-02-13
330.69000244140625,2018-02-14
333.17999267578125,2018-02-15
332.1499938964844,2018-02-16
323.0400085449219,2018-02-20
317.510009765625,2018-02-21
315.82000732421875,2018-02-22
323.8599853515625,2018-02-23
324.8900146484375,2018-02-26
320.9700012207031,2018-02-27
320.44000244140625,2018-02-28
321.7799987792969,2018-03-01
330.4700012207031,2018-03-02
333.9100036621094,2018-03-05
333.4800109863281,2018-03-06
334.4100036621094,2018-03-07
340.7799987792969,2018-03-08
341.70001220703125,2018-03-09
344.54998779296875,2018-03-12
337.75,2018-03-13
341.4200134277344,2018-03-14
334.92999267578125,2018-03-15
343.29998779296875,2018-03-16
339.0799865722656,2018-03-19
333.8599853515625,2018-03-20
334.8699951171875,2018-03-21
327.69000244140625,2018-03-22
321.2900085449219,2018-03-23
330.7099914550781,2018-03-26
329.239990234375,2018-03-27
338.4800109863281,2018-03-28
344.3599853515625,2018-03-29
330.55999755859375,2018-04-02
332.20001220703125,2018-04-03
337.3500061035156,2018-04-04
328.5899963378906,2018-04-05
319.6099853515625,2018-04-06
319.70001220703125,2018-04-09
328.0400085449219,2018-04-10
322.7799987792969,2018-04-11
325.0799865722656,2018-04-12
321.55999755859375,2018-04-13
318.20001220703125,2018-04-16
322.6300048828125,2018-04-17
321.3900146484375,2018-04-18
315.8299865722656,2018-04-19
314.25,2018-04-20
316.010009765625,2018-04-23
312.0,2018-04-24
316.1700134277344,2018-04-25
323.9700012207031,2018-04-26
313.04998779296875,2018-04-27
303.67999267578125,2018-04-30
301.2200012207031,2018-05-01
296.1400146484375,2018-05-02
292.4100036621094,2018-05-03
291.25,2018-05-04
288.5400085449219,2018-05-07
285.8599853515625,2018-05-08
284.6000061035156,2018-05-09
288.8999938964844,2018-05-10
306.94000244140625,2018-05-11
309.5400085449219,2018-05-14
300.45001220703125,2018-05-15
303.2099914550781,2018-05-16
308.0,2018-05-17
301.80999755859375,2018-05-18
