GSK,Date
36.06098937988281,2018-05-04
36.088157653808594,2018-05-07
35.87081527709961,2018-05-08
36.42323303222656,2018-05-09
36.609619140625,2018-05-10
36.71050262451172,2018-05-11
36.71967697143555,2018-05-14
36.43538284301758,2018-05-15
36.57294464111328,2018-05-16
36.77470016479492,2018-05-17
36.71050262451172,2018-05-18
36.72884750366211,2018-05-21
36.985626220703125,2018-05-22
36.84807205200195,2018-05-23
36.71050262451172,2018-05-24
36.545433044433594,2018-05-25
36.49040985107422,2018-05-29
37.297428131103516,2018-05-30
37.159873962402344,2018-05-31
37.37080001831055,2018-06-01
37.324947357177734,2018-06-04
37.114017486572266,2018-06-05
37.28826904296875,2018-06-06
37.35245895385742,2018-06-07
37.618408203125,2018-06-08
37.77430725097656,2018-06-11
37.783485412597656,2018-06-12
37.728458404541016,2018-06-13
38.46211624145508,2018-06-14
38.003578186035156,2018-06-15
37.847679138183594,2018-06-18
37.63675308227539,2018-06-19
37.62758255004883,2018-06-20
37.42582321166992,2018-06-21
37.49918746948242,2018-06-22
36.609619140625,2018-06-25
36.72884750366211,2018-06-26
36.30699157714844,2018-06-27
36.28865051269531,2018-06-28
36.967288970947266,2018-06-29
36.79303741455078,2018-07-02
37.27909469604492,2018-07-03
37.35245895385742,2018-07-05
37.618408203125,2018-07-06
37.60007095336914,2018-07-09
37.99441146850586,2018-07-10
37.6917724609375,2018-07-11
38.28787612915039,2018-07-12
38.27870178222656,2018-07-13
37.783485412597656,2018-07-16
37.728458404541016,2018-07-17
37.57255554199219,2018-07-18
37.31576919555664,2018-07-19
38.39792251586914,2018-07-20
37.545047760009766,2018-07-23
37.79265594482422,2018-07-24
37.159873962402344,2018-07-25
37.01314163208008,2018-07-26
37.379966735839844,2018-07-27
37.673439025878906,2018-07-30
38.14113998413086,2018-07-31
37.68260192871094,2018-08-01
37.22407150268555,2018-08-02
37.434993743896484,2018-08-03
37.50836181640625,2018-08-06
38.003578186035156,2018-08-07
38.15948486328125,2018-08-08
37.923370361328125,2018-08-09
37.26439666748047,2018-08-10
36.911705017089844,2018-08-13
36.939552307128906,2018-08-14
37.552120208740234,2018-08-15
37.89553451538086,2018-08-16
38.28533935546875,2018-08-17
38.35959243774414,2018-08-20
38.517372131347656,2018-08-21
38.554500579833984,2018-08-22
38.20180892944336,2018-08-23
38.31318664550781,2018-08-24
38.50809860229492,2018-08-27
38.39671325683594,2018-08-28
38.60090255737305,2018-08-29
38.276058197021484,2018-08-30
37.5892448425293,2018-08-31
37.44074630737305,2018-09-04
37.2458381652832,2018-09-05
36.920989990234375,2018-09-06
36.75392532348633,2018-09-07
36.47549057006836,2018-09-10
36.187767028808594,2018-09-11
36.53117370605469,2018-09-12
36.50333786010742,2018-09-13
36.206329345703125,2018-09-14
36.3919563293457,2018-09-17
36.781768798828125,2018-09-18
36.70751953125,2018-09-19
37.00452423095703,2018-09-20
37.40361785888672,2018-09-21
37.3108024597168,2018-09-24
37.45930862426758,2018-09-25
37.617088317871094,2018-09-26
37.59852600097656,2018-09-27
37.282962799072266,2018-09-28
37.17158508300781,2018-10-01
37.282962799072266,2018-10-02
37.579959869384766,2018-10-03
37.273681640625,2018-10-04
36.9488410949707,2018-10-05
36.47549057006836,2018-10-08
36.63327407836914,2018-10-09
36.4105224609375,2018-10-10
35.705142974853516,2018-10-11
35.556640625,2018-10-12
36.085670471191406,2018-10-15
36.939552307128906,2018-10-16
36.88386917114258,2018-10-17
36.763214111328125,2018-10-18
37.932647705078125,2018-10-19
37.5892448425293,2018-10-22
37.70989990234375,2018-10-23
36.54045486450195,2018-10-24
36.688961029052734,2018-10-25
36.49405288696289,2018-10-26
36.49405288696289,2018-10-29
36.763214111328125,2018-10-30
36.252742767333984,2018-10-31
36.837459564208984,2018-11-01
36.04854965209961,2018-11-02
37.17158508300781,2018-11-05
36.939552307128906,2018-11-06
37.8769645690918,2018-11-07
38.276058197021484,2018-11-08
38.33174514770508,2018-11-09
38.081153869628906,2018-11-12
38.42456817626953,2018-11-13
37.95121383666992,2018-11-14
37.96140670776367,2018-11-15
37.89564514160156,2018-11-16
38.355953216552734,2018-11-19
38.16807556152344,2018-11-20
38.05534362792969,2018-11-21
38.196250915527344,2018-11-23
38.102317810058594,2018-11-26
37.96140670776367,2018-11-27
38.69413757324219,2018-11-28
38.788082122802734,2018-11-29
39.33293151855469,2018-11-30
36.27047348022461,2018-12-03
36.01683044433594,2018-12-04
35.1525764465332,2018-12-06
35.03984832763672,2018-12-07
35.396827697753906,2018-12-10
35.096214294433594,2018-12-11
35.396827697753906,2018-12-12
35.64107131958008,2018-12-13
35.33106994628906,2018-12-14
34.82378387451172,2018-12-17
34.84257507324219,2018-12-18
35.133792877197266,2018-12-19
35.603492736816406,2018-12-20
35.30288314819336,2018-12-21
34.98348617553711,2018-12-24
35.69743347167969,2018-12-26
