JNJ,Date
116.9826889038086,2018-06-13
116.77283477783203,2018-06-14
116.96360778808594,2018-06-15
115.73301696777344,2018-06-18
116.92545318603516,2018-06-19
116.41987609863281,2018-06-20
115.85704040527344,2018-06-21
117.18301391601562,2018-06-22
116.94454193115234,2018-06-25
116.71559143066406,2018-06-26
116.00965881347656,2018-06-27
116.38170623779297,2018-06-28
115.75209045410156,2018-06-29
115.98104858398438,2018-07-02
117.05901336669922,2018-07-03
119.24356079101562,2018-07-05
119.95901489257812,2018-07-06
120.24520874023438,2018-07-09
121.5139389038086,2018-07-10
120.42644500732422,2018-07-11
121.87645721435547,2018-07-12
120.13072967529297,2018-07-13
118.94783782958984,2018-07-16
123.1642837524414,2018-07-17
121.91461181640625,2018-07-18
120.1402587890625,2018-07-19
120.05440521240234,2018-07-20
120.7984848022461,2018-07-23
123.40276336669922,2018-07-24
122.69684600830078,2018-07-25
124.28040313720703,2018-07-26
125.49192810058594,2018-07-27
126.08335876464844,2018-07-30
126.41724395751953,2018-07-31
126.53170013427734,2018-08-01
125.20572662353516,2018-08-02
125.87349700927734,2018-08-03
125.94027709960938,2018-08-06
125.40606689453125,2018-08-07
125.12940216064453,2018-08-08
125.15802764892578,2018-08-09
124.728759765625,2018-08-10
124.2231674194336,2018-08-13
123.53632354736328,2018-08-14
124.42349243164062,2018-08-15
126.37908172607422,2018-08-16
128.2774200439453,2018-08-17
130.5764617919922,2018-08-20
129.11692810058594,2018-08-21
128.41098022460938,2018-08-22
128.88796997070312,2018-08-23
129.68930053710938,2018-08-24
129.564453125,2018-08-27
128.98826599121094,2018-08-28
129.50682067871094,2018-08-29
129.59324645996094,2018-08-30
129.3435821533203,2018-08-31
128.41207885742188,2018-09-04
130.46714782714844,2018-09-05
131.4370574951172,2018-09-06
131.86920166015625,2018-09-07
131.76356506347656,2018-09-10
133.01194763183594,2018-09-11
133.82821655273438,2018-09-12
134.33717346191406,2018-09-13
133.9530487060547,2018-09-14
134.40438842773438,2018-09-17
134.9613800048828,2018-09-18
134.88455200195312,2018-09-19
136.34422302246094,2018-09-20
137.20849609375,2018-09-21
134.89414978027344,2018-09-24
133.1367950439453,2018-09-25
132.67584228515625,2018-09-26
132.73345947265625,2018-09-27
132.68544006347656,2018-09-28
134.14511108398438,2018-10-01
134.90374755859375,2018-10-02
133.5113067626953,2018-10-03
133.81861877441406,2018-10-04
133.57855224609375,2018-10-05
133.8570098876953,2018-10-08
133.67457580566406,2018-10-09
132.26290893554688,2018-10-10
128.52731323242188,2018-10-11
128.55612182617188,2018-10-12
128.63296508789062,2018-10-15
131.1393585205078,2018-10-16
133.92422485351562,2018-10-17
133.96266174316406,2018-10-18
133.530517578125,2018-10-19
133.17518615722656,2018-10-22
133.415283203125,2018-10-23
132.01324462890625,2018-10-24
132.97354125976562,2018-10-25
131.5330810546875,2018-10-26
132.09007263183594,2018-10-29
135.16302490234375,2018-10-30
134.43319702148438,2018-10-31
135.2302703857422,2018-11-01
135.09580993652344,2018-11-02
136.5554656982422,2018-11-05
136.91079711914062,2018-11-06
139.00425720214844,2018-11-07
139.5324249267578,2018-11-08
139.57083129882812,2018-11-09
139.83970642089844,2018-11-12
138.93704223632812,2018-11-13
138.52410888671875,2018-11-14
138.76417541503906,2018-11-15
140.19503784179688,2018-11-16
141.865966796875,2018-11-19
140.6367645263672,2018-11-20
136.35382080078125,2018-11-21
136.5842742919922,2018-11-23
136.62294006347656,2018-11-26
138.41082763671875,2018-11-27
141.522705078125,2018-11-28
140.95252990722656,2018-11-29
141.96725463867188,2018-11-30
141.3004150390625,2018-12-03
141.12646484375,2018-12-04
141.010498046875,2018-12-06
140.54661560058594,2018-12-07
140.38232421875,2018-12-10
141.58070373535156,2018-12-11
142.16053771972656,2018-12-12
142.87567138671875,2018-12-13
128.53399658203125,2018-12-14
124.80361938476562,2018-12-17
126.04061889648438,2018-12-18
123.32498931884766,2018-12-19
123.96282958984375,2018-12-20
123.78887176513672,2018-12-21
118.71515655517578,2018-12-24
122.45521545410156,2018-12-26
123.1317138671875,2018-12-27
122.99641418457031,2018-12-28
124.71664428710938,2018-12-31
123.46029663085938,2019-01-02
121.49846649169922,2019-01-03
123.53761291503906,2019-01-04
122.74514770507812,2019-01-07
125.59609985351562,2019-01-08
124.60065460205078,2019-01-09
125.35448455810547,2019-01-10
125.39313507080078,2019-01-11
123.97249603271484,2019-01-14
125.0162353515625,2019-01-15
123.74055480957031,2019-01-16
124.75530242919922,2019-01-17
126.30156707763672,2019-01-18
124.47503662109375,2019-01-22
124.47503662109375,2019-01-23
122.76446533203125,2019-01-24
123.9241714477539,2019-01-25
124.65866088867188,2019-01-28
125.95365142822266,2019-01-29
127.21967315673828,2019-01-30
128.611328125,2019-01-31
129.69369506835938,2019-02-01
128.41802978515625,2019-02-04
128.41802978515625,2019-02-05
128.53399658203125,2019-02-06
127.61592864990234,2019-02-07
127.95413970947266,2019-02-08
127.56757354736328,2019-02-11
129.65504455566406,2019-02-12
129.935302734375,2019-02-13
129.80001831054688,2019-02-14
131.80052185058594,2019-02-15
131.13368225097656,2019-02-19
131.77151489257812,2019-02-20
130.8727569580078,2019-02-21
132.01312255859375,2019-02-22
132.49952697753906,2019-02-25
132.41197204589844,2019-02-26
132.17849731445312,2019-02-27
132.92758178710938,2019-02-28
134.59112548828125,2019-03-01
134.71759033203125,2019-03-04
134.9997100830078,2019-03-05
135.31101989746094,2019-03-06
134.48411560058594,2019-03-07
134.30899047851562,2019-03-08
134.79541015625,2019-03-11
135.39857482910156,2019-03-12
135.622314453125,2019-03-13
134.2700958251953,2019-03-14
133.8614959716797,2019-03-15
133.44317626953125,2019-03-18
134.67868041992188,2019-03-19
133.55992126464844,2019-03-20
134.34791564941406,2019-03-21
133.19024658203125,2019-03-22
132.8983917236328,2019-03-25
134.80514526367188,2019-03-26
134.93162536621094,2019-03-27
135.10671997070312,2019-03-28
135.99197387695312,2019-03-29
135.20399475097656,2019-04-01
133.96852111816406,2019-04-02
133.44317626953125,2019-04-03
131.88665771484375,2019-04-04
132.48007202148438,2019-04-05
132.441162109375,2019-04-08
131.88665771484375,2019-04-09
131.89639282226562,2019-04-10
131.53643798828125,2019-04-11
132.28550720214844,2019-04-12
132.81085205078125,2019-04-15
134.2700958251953,2019-04-16
134.75650024414062,2019-04-17
133.78367614746094,2019-04-18
134.0852508544922,2019-04-22
136.0989990234375,2019-04-23
135.4180450439453,2019-04-24
135.8557891845703,2019-04-25
136.57569885253906,2019-04-26
136.04063415527344,2019-04-29
137.36367797851562,2019-04-30
138.0933074951172,2019-05-01
137.44151306152344,2019-05-02
138.15167236328125,2019-05-03
138.2294921875,2019-05-06
136.16709899902344,2019-05-07
135.99197387695312,2019-05-08
134.96080017089844,2019-05-09
135.2720947265625,2019-05-10
133.4723663330078,2019-05-13
133.1027069091797,2019-05-14
133.19024658203125,2019-05-15
134.45492553710938,2019-05-16
134.84405517578125,2019-05-17
134.6592254638672,2019-05-20
134.36737060546875,2019-05-21
134.98995971679688,2019-05-22
135.99197387695312,2019-05-23
